satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1543,46053,53.1605,0.0001385,15.31708294,469.7667053152136,471.6638373943797,1 46053U 20055AC  26189.50021973  .00003629  00000+0  12863-3 0  9995,2 46053  53.1605 271.9240 0001385  85.9716 274.1444 15.31708294327589
STARLINK-1548,46054,53.1589,0.0001254,15.31707281,469.8594445760009,471.577137482991,1 46054U 20055AD  26189.25321086  .00004974  00000+0  17190-3 0  9998,2 46054  53.1589 273.1472 0001254  98.4449 261.6695 15.31707281327549
STARLINK-1554,46055,53.1597,0.0001376,15.3170818,469.77320906052137,471.65801329911756,1 46055U 20055AE  26189.49556140  .00003980  00000+0  13990-3 0  9996,2 46055  53.1597 271.9623 0001376  81.5196 278.5962 15.31708180327587
STARLINK-1564,46058,53.1579,7.83e-05,15.30217162,474.6272138049444,475.7004407144923,1 46058U 20055AH  26189.58061074  .00008767  00000+0  30761-3 0  9999,2 46058  53.1579 272.8435 0000783  94.8081 265.3009 15.30217162327571
STARLINK-1570,46059,53.161,0.0001681,15.31699774,469.589372583825,471.89196525611624,1 46059U 20055AJ  26189.52350670 -.00000162  00000+0  65449-5 0  9992,2 46059  53.1610 271.7124 0001681  83.0438 277.0755 15.31699774327544
STARLINK-1572,46060,53.1598,0.0001275,15.30195567,474.35450151376335,476.1021096666882,1 46060U 20055AK  26189.23502810  .00000478  00000+0  28253-4 0  9997,2 46060  53.1598 274.1944 0001275  65.3472 294.7661 15.30195567327494
STARLINK-1573,46061,53.1591,0.0001119,15.31707035,469.9526373478602,471.4854113261081,1 46061U 20055AL  26189.50952589  .00003690  00000+0  13058-3 0  9995,2 46061  53.1591 271.7470 0001119  92.9283 267.1846 15.31707035327587
STARLINK-1577,46063,53.1589,0.0001144,15.31702594,469.9487520138937,471.51577330118926,1 46063U 20055AN  26189.21123095 -.00003603  00000+0 -10439-3 0  9993,2 46063  53.1589 273.1306 0001144  74.9054 285.2074 15.31702594327538
STARLINK-1583,46064,53.1607,0.0001354,15.31694553,469.82889235364746,471.68357264100814,1 46064U 20055AP  26188.24653156  .00002045  00000+0  77658-4 0  9996,2 46064  53.1607 278.1245 0001354  81.4171 278.6984 15.31694553327376
STARLINK-1536,46070,53.1578,0.0001207,15.31720106,469.8534087222333,471.50671316074477,1 46070U 20055AV  26189.48758437  .00004446  00000+0  15486-3 0  9995,2 46070  53.1578 259.7319 0001207  87.3996 272.7143 15.31720106327741
STARLINK-1542,46073,53.1583,0.0001197,15.31709783,469.8910256813497,471.53063985251265,1 46073U 20055AY  26189.18570920  .00004599  00000+0  15982-3 0  9994,2 46073  53.1583 264.1048 0001197  64.0302 296.0823 15.31709783327641
STARLINK-1549,46074,53.0497,0.0001571,15.34167354,462.3199958806481,464.46960517237403,1 46074U 20055AZ  26189.46464305  .00022675  00000+0  68515-3 0  9990,2 46074  53.0497 259.5324 0001571  25.5705 334.5373 15.34167354327716
STARLINK-1551,46075,53.1605,0.000135,15.31707097,469.79424398129595,471.6434350579657,1 46075U 20055BA  26189.47858281  .00001739  00000+0  67784-4 0  9998,2 46075  53.1605 259.7108 0001350  77.4031 282.7121 15.31707097327732
STARLINK-1552,46076,53.1586,0.0001247,15.31725108,469.811104978372,471.5191962347335,1 46076U 20055BB  26189.46454773  .00008332  00000+0  27973-3 0  9997,2 46076  53.1586 259.3584 0001247  73.2737 286.8401 15.31725108327725
STARLINK-1559,46077,53.0218,0.0004221,15.41306049,439.37480084391336,445.13257466251434,1 46077U 20055BC  26189.36477328  .00036112  00000+0  85917-3 0  9997,2 46077  53.0218 227.0948 0004221  14.5236 345.5888 15.41306049328127
STARLINK-1566,46079,53.1596,0.0001282,15.31699106,469.864633821986,471.62068656686097,1 46079U 20055BE  26189.20817987  .00002025  00000+0  76997-4 0  9996,2 46079  53.1596 260.4045 0001282  86.3694 273.7454 15.31699106327709
STARLINK-1568,46080,53.0556,0.0003174,15.56956292,394.3216243140332,398.6221460343413,1 46080U 20055BF  26189.65273039  .00035252  00000+0  48494-3 0  9999,2 46080  53.0556 171.2379 0003174  89.9643 270.1732 15.56956292328979
STARLINK-1578,46082,53.1589,0.0001184,15.31704501,469.9156725640805,471.537483459354,1 46082U 20055BH  26189.47357945  .00003903  00000+0  13745-3 0  9999,2 46082  53.1589 259.6869 0001184  82.5273 277.5863 15.31704501327736
STARLINK-1579,46083,53.1574,0.0001401,15.31698241,469.7857103164906,471.7047671197797,1 46083U 20055BJ  26189.45987320 -.00000807  00000+0 -14244-4 0  9992,2 46083  53.1574 259.2836 0001401  78.8433 281.2726 15.31698241327732
STARLINK-1622,46128,53.0091,0.000981,16.03874073,257.1861425789457,270.21743027791763,1 46128U 20057M   26189.65612674  .00520915  13663-3  79004-3 0  9995,2 46128  53.0091 338.3897 0009810 295.5737  64.4279 16.03874073326460
STARLINK-1623,46129,53.0392,0.0002136,15.84645899,315.89183459629203,318.75213467452795,1 46129U 20057N   26190.00002315  .00243679  00000+0  10084-2 0  9990,2 46129  53.0392  18.0440 0002136 230.5900  72.4300 15.84645899  6005
STARLINK-1596,46141,53.0329,0.0002566,15.6558453,369.8262109643774,373.2901545321638,1 46141U 20057AA  26189.78827003  .00116034  00000+0  11223-2 0  9996,2 46141  53.0329   5.3355 0002566 185.0346 175.0643 15.65584530326118
STARLINK-1597,46142,53.0369,0.00037,15.83382742,318.40378025640985,323.3610546253158,1 46142U 20057AB  26190.00002315  .00116564  00000+0  52128-3 0  9993,2 46142  53.0369  57.9270 0003700 197.9063 170.6794 15.83382742  5956
STARLINK-1608,46146,53.1556,0.0005221,15.39100228,445.2044090847812,452.3330640549066,1 46146U 20057AF  26189.92370038  .00036337  00000+0  92944-3 0  9995,2 46146  53.1556 103.2389 0005221  86.9169 273.2433 15.39100228324782
STARLINK-1545,46156,53.0278,0.0011849,16.15906064,222.85997192545074,238.52157197942415,1 46156U 20057AR  26190.02322532  .01376704  14642-2  95816-3 0  9992,2 46156  53.0278  11.2157 0011849 287.1866  72.7873 16.15906064327292
STARLINK-1595,46159,53.0374,0.0003791,15.80334259,326.95177736645473,332.0375036762971,1 46159U 20057AU  26189.88897456  .00124480  00000+0  64051-3 0  9997,2 46159  53.0374  61.8045 0003791 173.9362 186.1706 15.80334259326587
STARLINK-1598,46160,53.0424,0.0002473,15.78918559,331.84374578021834,335.1633231885744,1 46160U 20057AV  26189.87809373  .00104752  00000+0  57683-3 0  9992,2 46160  53.0424  48.2013 0002473 275.5158  84.5580 15.78918559326766
STARLINK-1626,46167,53.039,0.0004516,15.84098161,315.8409343729945,321.8896668509078,1 46167U 20057BC  26190.00002315  .00189963  00000+0  81224-3 0  9992,2 46167  53.0390  56.1145 0004516 237.1297 245.5422 15.84098161  6019
STARLINK-1633,46171,53.0273,0.0009157,15.99030509,271.0131820871529,283.2015966618537,1 46171U 20057BG  26190.00002315  .00433803  90712-4  87489-3 0  9995,2 46171  53.0273  14.7362 0009157 284.6599 238.3321 15.99030509  5984
STARLINK-1640,46173,53.037,0.0003237,15.80605178,326.5571384076138,330.8991629061493,1 46173U 20057BJ  26190.00002315  .00113510  00000+0  57796-3 0  9991,2 46173  53.0370  62.2535 0003237 173.5689 265.3329 15.80605178  5958
STARLINK-1641,46174,53.0448,0.000243,15.68013025,362.94874036024703,366.22570433230794,1 46174U 20057BK  26189.88505426  .00053859  00000+0  47862-3 0  9999,2 46174  53.0448  57.0200 0002430 242.8463 117.2305 15.68013025325392
STARLINK-1695,46329,53.0381,0.0003358,15.84268965,316.1352531824414,320.6326366490466,1 46329U 20062E   26190.00002315  .00091973  00000+0  39620-3 0  9994,2 46329  53.0381  99.0077 0003358 216.4023 126.1535 15.84268965  6008
STARLINK-1719,46331,53.0279,0.0004525,15.95708721,283.3246632322598,289.3560152242617,1 46331U 20062G   26190.00002315  .00351550  60358-4  85673-3 0  9993,2 46331  53.0279  96.6176 0004525 209.8743 113.1106 15.95708721  6036
STARLINK-1759,46340,53.0047,0.0003531,16.04705307,259.0635259579776,263.75237260115955,1 46340U 20062R   26189.86731442  .00610114  18912-3  88453-3 0  9996,2 46340  53.0047  85.6701 0003531 211.9861 148.0956 16.04705307324055
