satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1265,45406,53.1548,0.0001176,15.41242512,441.63903141616447,443.243231392672,1 45406U 20019AY  26188.28509171  .00043204  00000+0  10275-2 0  9998,2 45406  53.1548 289.4820 0001176 324.4802  35.6125 15.41242512348349
STARLINK-1278,45408,53.0368,0.0002505,15.78051725,334.27925958718697,337.6430227559131,1 45408U 20019BA  26189.45977725  .00065807  00000+0  37990-3 0  9991,2 45408  53.0368 256.6584 0002505  29.3525 330.7635 15.78051725348881
STARLINK-1296,45412,53.1534,6.7e-05,15.41497739,441.23132332483874,442.1451799085553,1 45412U 20019BE  26189.61777272  .00049874  00000+0  11737-2 0  9995,2 45412  53.1534 282.8332 0000670 262.1963  97.8966 15.41497739348559
STARLINK-1309,45414,53.0567,0.000296,15.76322089,338.88282675770097,342.8604798804654,1 45414U 20019BG  26189.44192548  .00053616  00000+0  33538-3 0  9998,2 45414  53.0567 251.0561 0002960  30.0142 330.1047 15.76322089348942
STARLINK-1316,45415,53.154,7.72e-05,15.41810767,440.23873227398053,441.291570766175,1 45415U 20019BH  26189.25671879  .00043416  00000+0  10132-2 0  9998,2 45415  53.1540 284.4067 0000772 247.3916 112.7008 15.41810767348529
STARLINK-1286,45417,53.0437,0.0006026,15.67850145,360.99075699157675,369.11765103065045,1 45417U 20019BK  26189.50204523  .00050167  00000+0  44902-3 0  9990,2 45417  53.0437 263.6854 0006026   0.7856 359.3168 15.67850145349068
STARLINK-1308,45419,53.0455,0.0004197,15.68813508,359.46443031718354,365.12234758566956,1 45419U 20019BM  26188.29010243  .00042970  00000+0  37097-3 0  9991,2 45419  53.0455 288.7548 0004197 108.8000 251.3471 15.68813508348358
STARLINK-1329,45531,53.0394,0.0003854,15.77712337,334.33598646098835,339.51195545740393,1 45531U 20025A   26189.39709863  .00061841  00000+0  36277-3 0  9995,2 45531  53.0394 205.1648 0003854  10.3943 349.7156 15.77712337344403
STARLINK-1338,45532,53.0412,0.0002715,15.74524123,344.16008643428995,347.8112850526477,1 45532U 20025B   26189.37277416  .00046442  00000+0  31500-3 0  9992,2 45532  53.0412 212.8391 0002715  60.5426 299.5863 15.74524123344298
STARLINK-1350,45535,53.0698,0.0001834,15.39870693,445.23970909242144,447.74298276970876,1 45535U 20025E   26189.68819254  .00041271  00000+0  10276-2 0  9992,2 45535  53.0698 183.5765 0001834  61.7580 298.3609 15.39870693344776
