alt_km,inc_deg,satname,provider,constellation
466.6353022835906,53.1604,STARLINK-1265,SpaceX,Starlink
379.82088899979954,53.0442,STARLINK-1278,SpaceX,Starlink
465.3297856088029,53.1599,STARLINK-1296,SpaceX,Starlink
382.1163710838109,53.0648,STARLINK-1309,SpaceX,Starlink
464.43749500480817,53.1602,STARLINK-1316,SpaceX,Starlink
405.62359587367337,53.0487,STARLINK-1286,SpaceX,Starlink
395.0248113840157,53.0526,STARLINK-1308,SpaceX,Starlink
367.4476986010577,53.0444,STARLINK-1329,SpaceX,Starlink
384.39783916233864,53.0465,STARLINK-1338,SpaceX,Starlink
454.8706733337135,53.0713,STARLINK-1350,SpaceX,Starlink
469.2649543438324,53.1608,STARLINK-1362,SpaceX,Starlink
467.7812620290124,53.1598,STARLINK-1368,SpaceX,Starlink
407.15790607234703,53.0494,STARLINK-1371,SpaceX,Starlink
466.49664630655525,53.1588,STARLINK-1372,SpaceX,Starlink
395.0492724070309,53.0471,STARLINK-1373,SpaceX,Starlink
387.6992863469054,53.0425,STARLINK-1327,SpaceX,Starlink
415.04413492308095,53.0471,STARLINK-1356,SpaceX,Starlink
377.52361557594986,53.0469,STARLINK-1357,SpaceX,Starlink
405.7209105599554,53.0467,STARLINK-1361,SpaceX,Starlink
310.0713884731631,53.0367,STARLINK-1363,SpaceX,Starlink
315.84266620299695,53.0377,STARLINK-1366,SpaceX,Starlink
465.0543055216476,53.1567,STARLINK-1376,SpaceX,Starlink
344.5417850180452,53.0462,STARLINK-1320,SpaceX,Starlink
402.3964516960641,53.0456,STARLINK-1321,SpaceX,Starlink
403.31192727167354,53.0495,STARLINK-1331,SpaceX,Starlink
473.8153311926071,53.1571,STARLINK-1333,SpaceX,Starlink
469.5016227375336,53.1581,STARLINK-1335,SpaceX,Starlink
371.96619420082334,53.0492,STARLINK-1337,SpaceX,Starlink
382.28435560423077,53.0374,STARLINK-1347,SpaceX,Starlink
398.9985847270432,53.0439,STARLINK-1364,SpaceX,Starlink
413.42910116732355,53.0493,STARLINK-1365,SpaceX,Starlink
480.5346538152321,53.1341,STARLINK-1443,SpaceX,Starlink
432.9792796762895,53.0233,STARLINK-1446,SpaceX,Starlink
386.64172268485163,53.0463,STARLINK-1448,SpaceX,Starlink
530.2628180297693,53.0518,STARLINK-1451,SpaceX,Starlink
415.5449198803053,53.0283,STARLINK-1452,SpaceX,Starlink
385.03243083392044,53.0427,STARLINK-1453,SpaceX,Starlink
391.1331393698183,53.0443,STARLINK-1454,SpaceX,Starlink
397.6066368638435,53.0455,STARLINK-1456,SpaceX,Starlink
298.7000345253764,53.041,STARLINK-1457,SpaceX,Starlink
421.18595748165944,53.0511,STARLINK-1458,SpaceX,Starlink
473.89455045918385,53.1566,STARLINK-1460,SpaceX,Starlink
465.5902916780433,53.1548,STARLINK-1392,SpaceX,Starlink
397.68583378066296,53.045,STARLINK-1394,SpaceX,Starlink
414.5696246608113,53.044,STARLINK-1402,SpaceX,Starlink
449.59370821908897,53.1573,STARLINK-1404,SpaceX,Starlink
473.9624728432418,53.1581,STARLINK-1413,SpaceX,Starlink
522.83994205218,53.0496,STARLINK-1417,SpaceX,Starlink
384.2265815018941,53.0468,STARLINK-1420,SpaceX,Starlink
473.4439936129161,53.1566,STARLINK-1422,SpaceX,Starlink
390.5799663274811,53.0492,STARLINK-1351,SpaceX,Starlink
395.27856500809594,53.0455,STARLINK-1400,SpaceX,Starlink
476.39369441907365,53.1593,STARLINK-1403,SpaceX,Starlink
369.5655943912516,53.0302,STARLINK-1407,SpaceX,Starlink
357.30325803366577,53.0397,STARLINK-1411,SpaceX,Starlink
387.70889451966787,53.0446,STARLINK-1423,SpaceX,Starlink
380.7710189525769,53.0452,STARLINK-1433,SpaceX,Starlink
475.0806331957874,53.0497,STARLINK-1434,SpaceX,Starlink
399.6166471398115,53.0485,STARLINK-1465,SpaceX,Starlink
414.0407221538644,53.0468,STARLINK-1471,SpaceX,Starlink
393.4161194143662,53.0503,STARLINK-1480,SpaceX,Starlink
455.70479163677237,53.0364,STARLINK-1500,SpaceX,Starlink
400.1621931600812,53.0228,STARLINK-1504,SpaceX,Starlink
484.2467628491718,53.0778,STARLINK-1506,SpaceX,Starlink
421.2580407569353,53.0498,STARLINK-1464,SpaceX,Starlink
517.1287142317692,53.0485,STARLINK-1477,SpaceX,Starlink
384.5465115241318,53.0487,STARLINK-1478,SpaceX,Starlink
397.6820407498749,53.0502,STARLINK-1493,SpaceX,Starlink
323.0426712777685,53.0468,STARLINK-1494,SpaceX,Starlink
408.13182459796417,53.0491,STARLINK-1502,SpaceX,Starlink
472.08193820318,53.046,STARLINK-1470,SpaceX,Starlink
465.9424050618404,53.1604,STARLINK-1482,SpaceX,Starlink
403.3582743647512,53.0495,STARLINK-1496,SpaceX,Starlink
475.2308853521581,53.1607,STARLINK-1513,SpaceX,Starlink
533.6006742401032,53.0644,STARLINK-1522,SpaceX,Starlink
475.25836116169467,53.159,STARLINK-1523,SpaceX,Starlink
475.2535180898585,53.1593,STARLINK-1526,SpaceX,Starlink
474.85229243892445,53.1583,STARLINK-1555,SpaceX,Starlink
477.60004168172554,53.1567,STARLINK-1556,SpaceX,Starlink
477.7331460655264,53.1566,STARLINK-1557,SpaceX,Starlink
475.23944277428564,53.1607,STARLINK-1558,SpaceX,Starlink
477.7606110983975,53.1565,STARLINK-1560,SpaceX,Starlink
311.6576524472898,53.0861,STARLINK-1567,SpaceX,Starlink
475.2333815130046,53.1576,STARLINK-1569,SpaceX,Starlink
473.67014309784554,53.1607,STARLINK-1582,SpaceX,Starlink
475.2802058509824,53.1599,STARLINK-1591,SpaceX,Starlink
475.2116626011075,53.1601,STARLINK-1524,SpaceX,Starlink
475.23720339047804,53.1609,STARLINK-1527,SpaceX,Starlink
475.2783157828235,53.1628,STARLINK-1540,SpaceX,Starlink
