time_tag,kp_pred,kp_lo,kp_hi
2025-09-06 22:00:00+00:00,1.3300082487489036,0.5854729304703136,2.0745435670274937
2025-09-06 23:00:00+00:00,1.3300312786762842,0.27710077534032895,2.3829617820122397
2025-09-07 00:00:00+00:00,1.3663333435695735,0.07676598406593582,2.655900703073211
2025-09-07 01:00:00+00:00,1.3663333349603808,0.0,2.8553952223453125
2025-09-07 02:00:00+00:00,1.3663333273379734,0.0,3.031153628209091
2025-09-07 03:00:00+00:00,1.365652650572599,0.0,3.189370516224338
2025-09-07 04:00:00+00:00,1.3656526505725688,0.0,3.335492002597313
2025-09-07 05:00:00+00:00,1.36565265057257,0.0,3.471498630710725
2025-09-07 06:00:00+00:00,1.3743231351795275,0.0,3.6079093796175594
2025-09-07 07:00:00+00:00,1.3743231351795262,0.0,3.728729160193384
2025-09-07 08:00:00+00:00,1.3743231351795253,0.0,3.843644489296951
2025-09-07 09:00:00+00:00,1.3401367912546722,0.0,3.9192583799315384
2025-09-07 10:00:00+00:00,1.3401367912546716,0.0,4.024571254686
2025-09-07 11:00:00+00:00,1.3401367912546704,0.0,4.125905734964217
2025-09-07 12:00:00+00:00,1.37311684279874,0.0,4.256661333007859
2025-09-07 13:00:00+00:00,1.373116842798741,0.0,4.351228500593683
2025-09-07 14:00:00+00:00,1.3731168427987424,0.0,4.4428838153184635
2025-09-07 15:00:00+00:00,1.4054191673824386,0.0,4.564183084621531
2025-09-07 16:00:00+00:00,1.405419167382439,0.0,4.650740369379311
2025-09-07 17:00:00+00:00,1.4054191673824394,0.0,4.735048264355432
2025-09-07 18:00:00+00:00,1.3701822846641938,0.0,4.7820366400973136
2025-09-07 19:00:00+00:00,1.3701822846641967,0.0,4.8623263770473715
2025-09-07 20:00:00+00:00,1.3701822846641993,0.0,4.940811162221411
2025-09-07 21:00:00+00:00,1.2693682386646172,0.0,4.916793467579424
2025-09-07 22:00:00+00:00,1.2693685038991562,0.0,4.996867986296344
2025-09-07 23:00:00+00:00,1.269369244415353,0.0,5.075258612391867
2025-09-08 00:00:00+00:00,1.258117583106168,0.0,5.140814466718912
2025-09-08 01:00:00+00:00,1.258117585807055,0.0,5.216131772080891
2025-09-08 02:00:00+00:00,1.2581175881695863,0.0,5.290042377580407
2025-09-08 03:00:00+00:00,1.2583285608648327,0.0,5.362833317577593
2025-09-08 04:00:00+00:00,1.258328560864842,0.0,5.434151963296207
2025-09-08 05:00:00+00:00,1.2583285608648416,0.0,5.504272846734735
2025-09-08 06:00:00+00:00,1.2556411832435206,0.0,5.5705669843586385
2025-09-08 07:00:00+00:00,1.255641183243521,0.0,5.638462929510039
2025-09-08 08:00:00+00:00,1.2556411832435213,0.0,5.705322997706712
2025-09-08 09:00:00+00:00,1.2662370864465224,0.0,5.781789105899091
2025-09-08 10:00:00+00:00,1.2662370864465227,0.0,5.846712152506802
2025-09-08 11:00:00+00:00,1.266237086446523,0.0,5.9107277604836295
2025-09-08 12:00:00+00:00,1.256015068129528,0.0,5.9636509303894165
2025-09-08 13:00:00+00:00,1.2560150681295275,0.0,6.025960267191372
2025-09-08 14:00:00+00:00,1.256015068129527,0.0,6.0874660916286665
2025-09-08 15:00:00+00:00,1.2460031082290142,0.0,6.138186749803462
2025-09-08 16:00:00+00:00,1.246003108229014,0.0,6.198174609026051
2025-09-08 17:00:00+00:00,1.2460031082290137,0.0,6.2574444541617495
2025-09-08 18:00:00+00:00,1.2569246211956753,0.0,6.32694297955907
2025-09-08 19:00:00+00:00,1.2569246211956744,0.0,6.3848509023116184
2025-09-08 20:00:00+00:00,1.2569246211956735,0.0,6.442112152517693
2025-09-08 21:00:00+00:00,1.2881714803293256,0.0,6.529994781948247
