time,sat_a,id_a,sat_b,id_b,sep_km,note
2025-09-08 13:20:31.909369+00:00,STARLINK-1010,44716,STARLINK-1238,45233,90.00943552604308,closest_pair
2025-09-08 08:08:31.909369+00:00,STARLINK-1008,44714,STARLINK-1134,45048,90.5810866041477,closest_pair
2025-09-08 13:41:31.909369+00:00,STARLINK-1010,44716,STARLINK-1053,44758,91.8144351148472,closest_pair
2025-09-08 22:29:31.909369+00:00,STARLINK-1071,44934,STARLINK-1206,45204,92.16763282990041,closest_pair
2025-09-08 09:22:31.909369+00:00,STARLINK-1224,45186,STARLINK-1217,45226,93.24566056811251,closest_pair
2025-09-08 21:48:31.909369+00:00,STARLINK-1036,44741,STARLINK-1152,45096,93.29750547330862,closest_pair
2025-09-08 20:46:31.909369+00:00,STARLINK-1053,44758,STARLINK-1190,45083,93.5219014535637,closest_pair
2025-09-09 00:05:31.909369+00:00,STARLINK-1031,44736,STARLINK-1171,45062,94.126632032181,closest_pair
2025-09-08 21:47:31.909369+00:00,STARLINK-1031,44736,STARLINK-1080,44961,94.34410866885572,closest_pair
2025-09-08 12:03:31.909369+00:00,STARLINK-1056,44761,STARLINK-1201,45182,94.51389748570617,closest_pair
2025-09-08 21:26:31.909369+00:00,STARLINK-1144,44933,STARLINK-1217,45226,94.76092377236212,closest_pair
2025-09-08 14:32:31.909369+00:00,STARLINK-1031,44736,STARLINK-1277,45369,96.35084811798572,closest_pair
2025-09-08 13:12:31.909369+00:00,STARLINK-1153,45080,STARLINK-1191,45222,97.04217172668429,closest_pair
2025-09-08 06:01:31.909369+00:00,STARLINK-1056,44761,STARLINK-1237,45192,97.43345783697725,closest_pair
2025-09-08 16:17:31.909369+00:00,STARLINK-1042,44747,STARLINK-1056,44761,98.91362621841456,closest_pair
2025-09-08 19:49:31.909369+00:00,STARLINK-1010,44716,STARLINK-1179,45085,99.31800078174398,closest_pair
2025-09-08 03:57:31.909369+00:00,STARLINK-1094,44941,STARLINK-1221,45227,99.79758490051918,closest_pair
2025-09-08 18:30:31.909369+00:00,STARLINK-1143,45179,STARLINK-1209,45206,100.14676748314324,closest_pair
2025-09-08 23:49:31.909369+00:00,STARLINK-1090,44968,STARLINK-1202,45183,100.41899043445045,closest_pair
2025-09-08 09:51:31.909369+00:00,STARLINK-1031,44736,STARLINK-1319,45379,100.668839133219,closest_pair
2025-09-08 21:34:31.909369+00:00,STARLINK-1112,44925,STARLINK-1143,45179,101.78210843049551,closest_pair
2025-09-08 09:00:31.909369+00:00,STARLINK-1091,44940,STARLINK-1066,44954,102.1940754229129,closest_pair
